Age Bins,SN,Price
<10,Adairialis76,0.0
<10,Adastirin33,0.0
<10,Aeda94,0.0
<10,Aela59,0.0
<10,Aelaria33,0.0
<10,Aelastirin39,0.0
<10,Aelidru27,0.0
<10,Aelin32,0.0
<10,Aelly27,0.0
<10,Aellynun67,0.0
<10,Aellyria80,0.0
<10,Aelollo59,0.0
<10,Aenarap34,0.0
<10,Aeral43,0.0
<10,Aeral68,0.0
<10,Aeral97,0.0
<10,Aeralria27,4.09
<10,Aeralstical35,0.0
<10,Aeri84,0.0
<10,Aerillorin70,0.0
<10,Aerithllora36,0.0
<10,Aerithnucal56,0.0
<10,Aerithnuphos61,0.0
<10,Aerithriaphos45,0.0
<10,Aerithriaphos46,0.0
<10,Aesri53,0.0
<10,Aesty53,0.0
<10,Aestysu37,0.0
<10,Aesur96,0.0
<10,Aesurstilis64,0.0
<10,Aethedru70,0.0
<10,Aidai53,0.0
<10,Aidai61,0.0
<10,Aidai73,0.0
<10,Aidaillodeu39,0.0
<10,Aidain51,0.0
<10,Aidaira26,0.0
<10,Aiduecal76,0.0
<10,Aiduesu86,0.0
<10,Aillyriadru65,0.0
<10,Aillyrin83,2.89
<10,Aina42,0.0
<10,Aina43,0.0
<10,Airi27,0.0
<10,Aisur51,0.0
<10,Aisurdru79,0.0
<10,Aisurria69,0.0
<10,Aithelis62,0.0
<10,Alaephos75,0.0
<10,Alaesu77,0.0
<10,Alaesu91,0.0
<10,Alarap40,0.0
<10,Ali84,0.0
<10,Alim85,0.0
<10,Alo38,0.0
<10,Anallorgue57,5.7
<10,Ardcil81,0.0
<10,Ardonmol96,0.0
<10,Arin32,0.0
<10,Arirgue63,0.0
<10,Assassa81,0.0
<10,Assassasta79,0.0
<10,Assastnya25,0.0
<10,Assehoan67,0.0
<10,Assesi91,0.0
<10,Assilsan72,0.0
<10,Assim27,0.0
<10,Assirra56,0.0
<10,Assistasda42,0.0
<10,Assistasda90,0.0
<10,Assjaskan56,0.0
<10,Assjaskan73,0.0
<10,Assosia88,0.0
<10,Assylla81,0.0
<10,Asty82,0.0
<10,Asur53,0.0
<10,Asur96,0.0
<10,Baelollodeu94,0.0
<10,Bartassaya73,0.0
<10,Caesrinusuir82,0.0
<10,Ceoral34,0.0
<10,Chadadarla74,0.0
<10,Chadilsasta32,0.0
<10,Chadirra90,0.0
<10,Chadista79,0.0
<10,Chadistaya75,0.0
<10,Chadjask77,4.93
<10,Chadjask85,0.0
<10,Chadolyla44,0.0
<10,Chadossa56,0.0
<10,Chadossa89,0.0
<10,Chamadar79,0.0
<10,Chamadarnya73,0.0
<10,Chamadarsda63,0.0
<10,Chamalo71,0.0
<10,Chamassasya86,0.0
<10,Chamast86,0.0
<10,Chamastya76,0.0
<10,Chamilsala65,0.0
<10,Chamiman85,0.0
<10,Chamimla73,0.0
<10,Chamimla85,0.0
<10,Chamirra53,0.0
<10,Chamirrasya33,0.0
<10,Chamirraya83,0.0
<10,Chamistast30,0.0
<10,Chamjask73,0.0
<10,Chamjaskya75,0.0
<10,Chamossa77,0.0
<10,Chanadar44,0.0
<10,Chanastnya43,0.0
<10,Chanastsda67,0.0
<10,Chanastst38,0.0
<10,Chanastya70,0.0
<10,Chanilsasda38,0.0
<10,Chanilsast61,0.0
<10,Chanirra64,0.0
<10,Chanirra79,0.0
<10,Chanirrala39,0.0
<10,Chanirrasta87,0.0
<10,Chanista95,0.0
<10,Chanjask65,0.0
<10,Chanjaskan89,0.0
<10,Chanosia34,0.0
<10,Chanosia60,0.0
<10,Chanosian48,0.0
<10,Chanosiaya39,0.0
<10,Chanossanya44,0.0
<10,Chanossast57,4.32
<10,Chanuchi25,0.0
<10,Cosadar58,0.0
<10,Dyally87,0.0
<10,Ealiril69,0.0
<10,Ealrion88,0.0
<10,Ennalmol65,0.0
<10,Ennoncil86,0.0
<10,Ennrian78,0.0
<10,Eodailis27,0.0
<10,Eodairu79,0.0
<10,Eodaisu60,0.0
<10,Eolan54,0.0
<10,Eoral49,0.0
<10,Eoralrap26,0.0
<10,Eosrirgue62,0.0
<10,Eosurdru76,0.0
<10,Eratiel90,0.0
<10,Ermol76,0.0
<10,Errian63,0.0
<10,Eryon48,0.0
<10,Ethralista69,0.0
<10,Ethrasyon38,0.0
<10,Ethriel85,0.0
<10,Ethron58,0.0
<10,Eudanu32,0.0
<10,Eudanu84,0.0
<10,Eulae84,0.0
<10,Eulaestira36,0.0
<10,Eulanurin88,0.0
<10,Eulasuir89,0.0
<10,Eulolis41,0.0
<10,Eurisuru25,0.0
<10,Eurithphos97,4.55
<10,Eusri26,0.0
<10,Eusri44,3.09
<10,Eusri70,0.0
<10,Eustyria89,0.0
<10,Eusur90,0.0
<10,Eusurdeu49,0.0
<10,Euthe35,0.0
<10,Eyircil84,0.0
<10,Eyista89,0.0
<10,Eyrian71,0.0
<10,Farrian71,0.0
<10,Farusrian86,0.0
<10,Filrion59,0.0
<10,Filrion83,0.0
<10,Filurarn35,0.0
<10,Firan91,0.0
<10,Firatan58,0.0
<10,Firon67,0.0
<10,Fironon91,0.0
<10,Frichadar89,0.0
<10,Frichadaran88,0.0
<10,Frichast28,0.0
<10,Frichaststa61,0.0
<10,Frichaya88,0.0
<10,Frichilsa31,0.0
<10,Frichim77,0.0
<10,Frichirranya75,0.0
<10,Frichjask31,0.0
<10,Frichjaskan98,0.0
<10,Frichocesta66,0.0
<10,Frichosia58,0.0
<10,Frichosiala98,0.0
<10,Frichossala54,3.08
<10,Frichynde86,0.0
<10,Hada39,0.0
<10,Haedairiadru51,0.0
<10,Haeladil46,0.0
